INFO	2020-08-17 11:48:33,535	[logger.py:47]	你好
INFO	2020-08-20 17:01:17,054	[webpage.py:31]	打开网页：http://nwycg-test.yufengtek.com/#/app/login
INFO	2020-08-20 17:01:18,438	[webpage.py:63]	输入文本：admin
INFO	2020-08-20 17:01:20,548	[webpage.py:63]	输入文本：admin
INFO	2020-08-20 17:01:22,516	[webpage.py:63]	输入文本：
INFO	2020-08-20 17:01:23,791	[test_search.py:23]	None
INFO	2020-08-20 17:38:04,850	[webpage.py:36]	打开网页：http://nwycg-test.yufengtek.com/#/app/login
INFO	2020-08-20 17:38:05,979	[webpage.py:68]	输入文本：admin
INFO	2020-08-20 17:38:08,110	[webpage.py:68]	输入文本：admin
INFO	2020-08-20 17:49:11,531	[webpage.py:36]	打开网页：http://nwycg-test.yufengtek.com/#/app/login
INFO	2020-08-20 17:49:12,969	[webpage.py:68]	输入文本：admin
INFO	2020-08-20 17:49:16,155	[webpage.py:68]	输入文本：admin
INFO	2020-08-20 17:49:19,135	[webpage.py:68]	输入文本：123
INFO	2020-08-20 17:49:21,171	[test_search.py:25]	None
INFO	2020-08-20 17:52:17,240	[webpage.py:36]	打开网页：http://nwycg-test.yufengtek.com/#/app/login
INFO	2020-08-20 17:52:18,836	[webpage.py:68]	输入文本：admin
INFO	2020-08-20 17:52:21,914	[webpage.py:68]	输入文本：admin
INFO	2020-08-20 17:52:24,732	[webpage.py:68]	输入文本：123
INFO	2020-08-20 17:52:26,784	[test_search.py:25]	None
INFO	2020-08-25 15:22:53,299	[webpage.py:36]	打开网页：http://nwycg-test.yufengtek.com/#/app/login
INFO	2020-08-25 15:22:54,540	[webpage.py:68]	输入文本：admin
INFO	2020-08-25 15:22:57,632	[webpage.py:68]	输入文本：admin
INFO	2020-08-25 15:23:00,657	[webpage.py:68]	输入文本：123
INFO	2020-08-25 15:23:02,694	[test_search.py:26]	None
